Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
43,1250000,3,2,82,1335,0,2,1,875
24,6800000,7,0,45,6900,1,6,0,3088
29,1030000,4,2,58,1875,1,3,0,1326
16,900000,3,2,58,1513,1,4,1,1040
91,5350000,5,4,45,7200,1,4,2,3139
91,2600000,4,4,75,3600,1,5,0,2219
80,385000,2,1,41,904,1,3,0,453
91,1700000,3,0,12,1900,1,3,1,1346
91,4580000,5,5,49,6000,1,6,1,2918
91,3100000,3,0,79,3600,1,4,1,2219
19,9000000,7,4,46,8500,1,6,1,3328
24,4500000,7,0,46,4842,1,5,1,2668
54,1780000,4,2,58,1830,1,4,1,1294
54,3450000,6,3,58,3720,0,4,1,2282
27,1500000,4,2,58,1798,1,3,2,1274
24,1550000,1,1,86,904,0,1,0,453
54,1500000,4,3,57,2163,0,3,1,1524
54,1450000,4,0,57,2163,0,3,1,1524
9,490000,1,1,82,520,0,1,0,101
16,610000,2,2,61,1236,1,3,1,781
29,1035880,4,1,60,1876,1,3,1,1327
54,1830000,4,0,61,1668,1,3,0,1174
2,3300000,4,4,57,3536,2,4,1,2186
2,460000,1,1,82,613,0,1,0,172
43,2400000,2,1,82,1006,0,2,0,553
54,2290710,4,0,57,2767,4,4,1,1841
54,2284620,4,0,57,2702,4,4,2,1809
35,1438000,4,3,58,2378,1,3,2,1638
54,1720000,6,3,58,2020,1,3,2,1424
43,3600000,4,0,83,3897,1,4,0,2350
43,4280000,4,2,83,2195,0,3,1,1538
43,2300000,2,1,82,1023,1,1,0,570
24,4200000,5,5,45,5274,1,6,0,2759
43,2700000,4,3,83,3095,0,3,1,1992
54,1080000,2,1,82,896,0,2,0,445
54,1150000,2,2,58,1200,1,3,0,745
16,1070000,4,4,60,1772,1,4,1,1254
16,930000,3,2,60,1513,1,4,0,1040
9,780000,2,1,83,880,1,2,0,430
43,4098000,3,2,86,2066,1,3,1,1460
40,1800000,2,1,84,1244,0,2,0,789
54,3600000,6,0,58,4090,0,4,2,2425
54,2300000,5,2,58,2702,1,4,1,1809
43,4000000,3,2,61,2250,0,3,1,1570
2,4800000,6,3,57,4300,1,5,0,2495
2,3780000,5,4,58,3628,1,4,1,2232
9,850000,2,1,82,1050,0,2,1,597
54,1850000,4,0,57,2347,1,3,1,1624
43,1698800,2,1,86,1227,0,2,0,772
81,999000,4,2,24,2512,1,4,1,1716
42,3500000,1,1,82,1648,1,1,0,1155
43,1500000,2,1,83,1022,0,2,0,569
43,2300000,2,1,86,1023,1,1,0,570
54,1830000,4,2,58,1830,1,3,1,1294
73,580000,2,2,58,1550,1,4,1,1070
43,3000000,3,3,82,2066,4,3,1,1460
54,2180000,4,3,58,3000,1,4,1,1938
43,2030000,5,2,57,2356,0,3,1,1629
54,3450000,6,3,57,3720,0,4,1,2282
22,4080000,5,2,58,3713,1,4,1,2278
91,2880000,3,4,9,4244,1,4,1,2476
43,1799000,1,1,82,720,0,1,0,274
43,1820000,2,2,58,1159,0,2,1,706
43,1000000,3,2,83,1313,1,3,1,853
43,1650000,5,2,58,1905,0,3,1,1349
43,2300000,1,2,82,1023,1,1,0,570
54,2400000,5,3,57,2702,1,4,1,1809
43,2055000,1,1,86,797,1,1,1,347
43,1714000,1,1,86,700,1,1,0,254
16,620000,2,0,61,1232,1,3,0,777
16,1720000,7,0,18,3033,2,6,1,1956
43,2300000,4,3,83,3282,1,3,1,2071
16,920000,3,2,57,1513,1,4,1,1040
43,2300000,1,2,86,1046,1,1,0,593
91,4995000,7,6,45,8113,1,5,1,3269
54,1850000,4,2,57,1830,1,4,1,1294
43,1783000,2,1,57,976,1,2,0,523
29,1180000,4,1,61,1942,1,3,1,1375
16,900000,3,2,58,1513,1,4,1,1040
22,1700000,2,1,86,1442,0,2,1,977
43,850000,2,0,82,761,0,1,0,312
24,6800000,7,0,45,7000,4,5,2,3105
54,3100000,6,3,58,3400,0,4,1,2128
16,630000,2,2,82,791,1,2,0,341
43,1780000,1,1,83,728,0,1,0,282
27,2850000,3,0,24,3211,1,3,1,2045
27,1050000,2,2,57,1389,1,2,1,927
54,2600000,4,3,57,3041,1,4,1,1961
9,630000,1,1,82,663,1,1,1,219
43,3364000,2,2,82,1399,0,2,1,937
16,978000,3,2,57,1513,1,4,1,1040
43,3600000,5,2,83,3897,1,3,1,2350
43,3600000,5,2,83,3897,1,3,1,2350
43,2000000,1,1,82,1087,0,1,0,635
54,1630000,4,2,57,2065,1,4,1,1459
43,1250000,2,1,57,736,1,2,0,289
9,630000,1,1,82,650,0,1,1,206
43,1350000,2,1,82,1050,0,2,0,597
9,490000,1,1,86,500,0,1,0,86
9,800000,2,1,83,825,1,2,0,375
27,1980000,4,0,8,2200,1,3,1,1541
29,1035000,5,2,57,1853,3,3,1,1310
43,1000000,1,1,60,657,0,1,0,213
81,448800,3,1,86,1045,2,3,0,592
24,4900000,6,0,75,3700,0,5,1,2271
54,2480000,5,3,58,3041,1,4,1,1961
42,2716000,4,2,83,2227,1,3,1,1553
42,1480000,3,0,58,1544,0,3,1,1066
23,9500000,7,6,46,10000,1,6,1,3517
43,8343600,3,2,61,2454,4,3,0,1682
85,500000,2,1,83,715,1,2,0,269
24,13800000,7,3,46,7500,1,5,1,3185
43,3600000,4,0,83,3897,1,4,0,2350
54,2480000,5,3,57,3041,2,4,1,1961
43,3500000,3,1,82,1560,0,3,0,1080
54,2200000,4,2,57,2243,4,4,0,1564
43,3600000,4,2,83,3897,0,3,1,2350
16,1060000,4,4,58,1772,1,4,1,1254
16,900000,3,3,58,1513,1,4,1,1040
43,1850000,1,1,58,2174,1,3,0,1530
70,668000,3,3,58,1345,0,3,1,885
43,1050000,3,2,86,1313,0,2,2,853
35,509000,2,1,82,797,4,2,0,347
27,3170000,5,0,24,4306,1,4,1,2498
27,3400000,6,0,24,5448,2,5,1,2811
43,2998000,3,2,61,3218,1,3,1,2047
43,2580000,3,2,61,2809,1,3,1,1859
27,5600000,9,0,29,7000,1,7,1,3105
27,1260000,3,0,61,1485,1,2,1,1016
27,1990000,4,0,12,2500,1,3,1,1708
54,2100000,4,0,61,2441,0,4,0,1676
43,1100000,2,1,83,880,0,2,0,430
43,3600000,3,2,87,3897,1,4,1,2350
43,2900000,4,3,57,2809,0,3,1,1859
70,670000,2,2,57,1085,1,3,0,633
27,1370000,3,0,57,1572,1,3,1,1090
27,3480000,5,0,21,3450,1,4,1,2149
27,1350000,2,2,61,1292,1,2,0,834
43,2300000,2,1,82,1023,1,1,0,570
43,1900000,2,1,57,915,1,2,0,464
43,1450000,2,2,83,1090,0,2,0,638
43,1000000,1,0,64,657,0,1,0,213
43,1300000,1,1,82,925,1,1,0,474
43,3600000,4,2,83,3897,1,3,0,2350
91,5350000,5,3,45,7200,1,6,0,3139
16,1050000,4,4,57,1772,1,4,1,1254
16,1200000,4,4,57,1930,1,5,1,1367
16,900000,3,2,57,1513,1,4,1,1040
24,2251800,4,2,82,1668,1,2,1,1174
16,998000,5,4,23,1650,1,5,1,1157
54,1550000,4,2,57,1496,1,3,1,1024
73,780000,3,2,58,1368,1,3,0,907
27,1380000,2,2,61,1292,1,2,0,834
27,1798000,3,2,24,2200,1,3,1,1541
43,1300000,1,1,82,925,4,1,0,474
43,1268000,3,1,58,1619,0,3,0,1132
43,2600000,4,3,57,2809,0,3,1,1859
43,4200000,4,2,83,2195,1,3,1,1538
43,3330000,3,1,83,2789,0,2,1,1852
43,2600000,2,1,86,1184,0,2,0,729
43,1950000,2,1,86,1076,1,1,1,623
70,900000,4,3,57,1381,4,3,1,919
43,1400000,2,1,83,1050,0,2,0,597
24,6500000,5,4,45,7200,1,6,0,3139
54,1800000,4,2,57,1830,1,4,0,1294
10,3800000,5,4,46,4067,1,4,1,2417
9,350000,1,1,37,495,4,1,0,81
43,3600000,5,2,87,3897,3,3,2,2350
69,635000,4,2,58,1643,1,3,1,1151
85,530000,2,0,82,715,4,2,0,269
43,5070000,4,3,83,2142,1,3,1,1508
40,1207000,1,1,86,685,1,1,0,240
40,1177000,1,1,86,717,1,2,0,271
91,3000000,2,0,3,5700,1,3,0,2858
101,700000,2,2,57,1152,1,3,0,700
2,3710000,5,0,57,3369,1,4,1,2115
54,1900000,4,0,57,2411,0,3,1,1657
54,3785400,5,3,59,3907,1,5,1,2356
43,1300000,2,2,57,871,0,2,0,421
70,960000,4,2,58,1488,2,3,1,1018
40,490000,2,2,57,1065,2,4,0,612
54,4200000,5,3,58,3709,1,5,1,2276
43,1450000,1,1,85,1050,0,2,0,597
27,2380000,4,3,58,2454,0,4,1,1682
27,1350000,3,2,58,1389,4,2,2,927
43,1800000,5,0,57,2315,4,4,1,1606
16,1210000,6,4,24,3400,1,5,1,2128
91,4995000,7,6,49,8113,1,5,1,3269
54,1900000,4,2,58,1830,1,4,1,1294
43,2700000,2,2,82,1195,1,2,0,740
43,6300000,4,2,83,2195,1,3,1,1538
43,1900000,2,1,57,915,0,2,1,464
43,3000000,5,3,57,3218,1,4,1,2047
73,240000,2,1,57,850,4,3,0,400
43,1300000,2,0,58,871,0,2,0,421
43,1000000,1,1,60,751,1,1,0,304
43,1000000,1,1,60,751,1,1,0,304
43,2000000,2,1,83,1350,0,2,1,890
43,6380000,4,2,83,2195,1,3,1,1538
54,2480000,6,0,57,2702,1,4,1,1809
11,676775,3,4,86,1265,1,3,1,810
54,2280000,5,0,57,2702,1,4,1,1809
54,1830000,4,2,58,1830,1,4,1,1294
22,1750000,3,1,82,1442,1,2,1,977
27,1780000,3,2,12,2400,0,3,1,1650
45,3380000,4,0,79,4050,1,5,0,2412
16,1200000,4,4,58,1930,1,5,1,1367
43,2300000,2,1,82,1046,1,1,0,593
43,2300000,1,2,86,1046,1,1,0,593
54,1600000,3,2,57,1878,1,3,1,1328
54,1291000,4,3,57,2069,1,5,1,1462
43,880000,1,1,82,710,0,1,0,264
35,655000,2,2,83,1094,1,3,1,642
54,2150000,5,3,57,2700,4,3,1,1808
54,1400000,4,2,57,1496,1,3,1,1024
43,7975250,6,2,87,2975,0,4,1,1929
54,1100000,2,2,57,1200,1,3,0,745
43,1238000,2,1,57,736,1,2,0,289
9,750000,2,1,86,823,1,2,0,373
24,2100000,4,2,58,2153,1,3,1,1517
16,900000,4,0,57,1513,4,4,1,1040
54,1500000,2,2,57,1200,0,3,0,745
54,2300000,6,3,58,2702,1,4,1,1809
43,1000000,2,0,82,777,1,2,1,328
43,990000,3,2,83,1313,0,2,2,853
43,3960000,4,2,83,2195,1,3,1,1538
43,2700000,2,2,83,1184,0,2,0,729
43,1900000,2,1,86,1087,0,1,1,635
27,5460000,9,6,29,7000,1,7,1,3105
43,2050000,5,2,57,2356,0,3,1,1629
9,1121800,2,1,82,1200,0,2,1,745
43,1506300,1,1,86,1020,0,2,0,567
10,1530000,3,2,58,2095,0,3,1,1480
3,3680000,8,4,46,6300,2,7,0,2979
43,3600000,5,2,83,3897,1,3,1,2350
54,2300000,5,0,57,2906,1,4,1,1896
78,14800000,6,4,45,8611,0,4,2,3337
27,1480000,4,2,58,1917,1,3,2,1359
9,1050000,2,2,61,1485,0,3,0,1016
47,1200019,2,1,58,577,1,2,0,144
21,780000,4,0,46,5320,4,4,1,2770
43,1999000,2,1,86,1271,4,2,0,815
54,1820000,4,2,58,1830,1,4,1,1294
2,3700000,5,2,58,3628,4,4,1,2232
54,1420000,4,2,57,1499,1,3,1,1027
54,1830000,4,2,57,1832,1,4,1,1296
43,1680000,2,3,57,1159,0,3,1,706
43,2210000,3,2,57,1502,0,3,0,1029
43,1420000,2,1,61,976,0,2,0,523
43,3600000,5,2,83,3897,1,4,1,2350
43,1238000,2,1,57,736,1,2,0,289
54,2230000,0,3,57,2973,4,0,0,1927
43,1139000,1,1,57,751,1,1,0,304
43,2930000,2,2,83,1114,0,2,0,662
27,1580000,3,0,24,1900,1,3,0,1346
24,1620000,2,1,82,1194,1,1,1,739
27,1300000,3,2,61,1367,1,2,1,906
23,8000000,7,6,46,10600,1,7,0,3566
24,6500000,4,6,46,7880,1,5,1,3237
27,1200000,2,0,91,1400,1,2,0,938
10,1600000,2,2,91,2400,1,3,0,1650
27,1730000,3,2,58,1690,0,3,1,1192
27,1500000,2,2,61,1346,0,3,1,886
27,2800000,4,0,24,1302,1,3,1,843
